Age,Temperature
24510.7676,-8.99
24558.2148,-9.90
24609.2773,-10.21
24662.0449,-10.06
24714.4180,-9.96
24766.2832,-9.89
24817.8145,-9.54
24867.9297,-9.84
24919.1250,-9.39
24968.8086,-9.83
25020.1719,-9.95
25072.0410,-9.83
25123.2617,-9.35
25172.9102,-9.35
25222.8418,-10.21
25275.8574,-10.48
25330.2500,-10.32
25383.5371,-9.54
25435.0898,-9.87
25486.5840,-9.84
25538.1875,-9.67
25589.2266,-9.54
25639.5664,-9.30
25690.2031,-10.19
25742.6035,-10.02
25795.1172,-9.53
25847.0078,-10.47
25899.9102,-8.93
25949.5664,-9.61
26000.4434,-10.20
26053.0547,-8.98
26102.5703,-9.85
26154.2695,-9.96
26206.6875,-9.17
26256.5742,-10.40
26311.1211,-9.96
26363.7383,-9.02
26412.6309,-9.94
26465.1465,-9.34
26515.5039,-9.59
26566.7988,-9.96
26619.8477,-10.19
26673.8535,-10.11
26726.7168,-9.05
26777.0234,-9.48
26827.7344,-9.72
26879.9844,-10.13
26933.0391,-9.59
26985.3164,-9.75
27037.3750,-9.70
27089.7832,-9.93
27141.9375,-9.22
27192.1699,-8.79
27240.1250,-8.28
27287.2500,-8.84
27332.8496,-6.91
27377.1953,-9.25
27425.3438,-9.03
27474.5488,-8.69
27523.3613,-10.51
27577.8301,-9.14
27627.7480,-7.86
27673.0137,-7.71
27717.0840,-8.61
27764.6152,-8.94
27813.7520,-9.40
27864.0508,-8.38
27911.5938,-8.81
27960.6719,-9.87
28013.5078,-10.22
28067.9941,-9.15
28118.6855,-9.42
28170.1895,-9.93
28223.8398,-9.42
28275.3613,-8.71
28323.7363,-8.89
28372.5723,-8.20
28418.7715,-7.84
28464.5195,-8.69
28511.9785,-8.61
28560.0449,-8.59
28608.3340,-8.87
28657.8711,-9.46
28708.7324,-9.14
28759.3203,-8.91
28809.4668,-9.27
28859.1074,-8.35
28907.8145,-8.88
28955.9531,-8.28
29003.8848,-8.72
29051.7754,-8.26
29098.8965,-8.10
29145.2129,-8.23
29191.8301,-7.39
29235.8301,-8.60
29282.7930,-7.55
29327.9727,-7.93
29374.7988,-9.42
29424.6348,-8.88
29474.4180,-8.42
29522.5469,-8.35
29570.1211,-8.42
29617.6895,-8.33
29664.7227,-7.82
29710.8398,-8.36
29758.2891,-8.90
29808.3535,-9.82
29862.1523,-9.44
29914.8301,-9.38
29967.4492,-9.85
30020.4102,-8.40
30070.8145,-10.03
30124.2676,-9.25
30176.6895,-9.19
30227.4238,-8.31
30277.3340,-9.94
30329.6777,-8.61
30380.3438,-9.06
30431.0781,-9.19
30482.6328,-9.19
30534.4375,-9.29
30586.1172,-8.88
30636.8418,-8.88
30687.2051,-8.87
30737.5547,-8.87
30787.9277,-8.87
30837.3281,-7.57
30883.7285,-8.69
30932.8809,-8.77
30982.8281,-8.52
31031.8613,-9.51
31085.4531,-9.93
31140.6797,-9.29
31193.6621,-9.47
31247.4180,-10.04
31302.6406,-9.42
31355.9746,-8.91
31407.5488,-9.07
31458.8652,-8.90
31510.9707,-9.87
31564.4492,-8.92
31618.1094,-10.36
31673.2285,-9.19
31725.0352,-7.50
31772.8711,-8.30
31821.0098,-8.88
31870.9727,-8.50
31919.3457,-7.07
31964.8340,-8.12
32011.5391,-6.90
32055.2773,-8.40
32103.8984,-8.64
32153.6250,-8.31
32202.9141,-8.81
32252.8555,-8.20
32301.7930,-8.38
32349.9863,-7.78
32398.5195,-9.02
32447.7891,-7.95
32496.4316,-8.09
32545.3184,-9.16
32597.5508,-9.77
32652.2148,-9.46
32706.5918,-9.31
32760.9102,-9.88
32815.9453,-9.24
32869.2109,-8.59
32920.7539,-9.25
32972.9453,-8.74
33023.8633,-8.18
33072.7930,-8.03
33120.7695,-7.93
33167.9531,-7.53
33214.8672,-8.06
33262.1484,-7.76
33309.1289,-7.48
33355.2930,-8.30
33404.3086,-8.06
33452.6211,-8.47
33502.3633,-8.14
33551.0898,-8.12
33599.3086,-7.72
33648.0156,-9.32
33699.2500,-8.10
33749.6367,-8.77
33801.2656,-9.53
33855.6289,-9.53
33910.8281,-9.53
33966.0586,-9.52
34021.3086,-9.52
34076.5430,-9.16
34130.0195,-8.53
34180.7656,-9.12
34234.1406,-8.97
34287.0430,-9.58
34342.3594,-9.08
34395.4219,-8.19
34445.1758,-8.03
34493.9297,-8.55
34544.6602,-7.39
34591.0703,-8.34
34640.3516,-7.75
34688.1055,-7.68
34736.1562,-8.48
34784.8047,-7.35
34831.9688,-7.40
34879.0938,-8.37
34927.8945,-8.04
34976.7500,-7.69
35023.9883,-7.03
35069.3750,-7.69
35116.7070,-8.41
35166.9570,-7.72
35214.3594,-7.09
35260.1953,-7.52
35307.3125,-8.18
35356.2852,-8.24
35405.9102,-8.06
35453.8516,-6.81
35500.8984,-8.52
35550.5195,-8.67
35601.5859,-7.81
35650.3281,-7.61
35697.8906,-7.89
35746.3633,-8.68
35798.3828,-8.18
35848.4102,-9.24
35902.9375,-7.97
35952.0195,-8.02
36001.2422,-8.08
36050.6719,-8.05
36100.8008,-9.07
36153.8320,-8.69
36206.2734,-8.54
36257.8398,-8.32
36308.2734,-7.84
36357.2188,-7.84
36406.0898,-8.09
36455.6445,-8.20
36505.5664,-8.05
36554.9922,-7.77
36604.4688,-8.44
36654.6719,-8.08
36704.7070,-7.95
36754.7539,-8.66
36806.6406,-8.84
36859.4375,-8.54
36911.2891,-8.17
36960.8945,-7.00
37007.1250,-6.63
37051.3633,-7.91
37100.3867,-7.88
37149.4570,-7.89
37197.5195,-6.62
37243.7148,-7.79
37290.0352,-6.84
37337.0938,-7.91
37384.0273,-6.84
37430.8398,-8.14
37479.5000,-6.85
37525.0859,-7.18
37570.6562,-6.04
37613.3398,-6.18
37655.6953,-6.27
37697.3945,-5.14
37737.1250,-6.41
37779.3281,-5.22
37818.6484,-4.66
37857.7188,-6.16
37898.8711,-7.17
37945.1172,-7.23
37992.1211,-7.86
38038.9141,-5.98
38081.9805,-5.50
38124.0781,-7.13
38168.7891,-7.25
38215.4414,-7.63
38263.0977,-5.83
38306.2227,-7.28
38350.5820,-6.29
38394.9766,-6.57
38439.1133,-7.03
38484.4219,-6.62
38528.8320,-6.39
38572.3047,-6.41
38615.6914,-6.34
38659.5195,-6.82
38704.3984,-7.18
38750.8477,-7.53
38798.3945,-6.15
38841.5781,-6.89
